,STATION,DATE,REPORT_TYPE,SOURCE,HourlyAltimeterSetting
1,72219503888,2006-01-01 00:53:00,FM-15,7,30
2,72219503888,2006-01-01 01:53:00,FM-15,7,30
3,72219503888,2006-01-01 02:53:00,FM-15,7,30.02
4,72219503888,2006-01-01 03:53:00,FM-15,7,30.01
5,72219503888,2006-01-01 04:53:00,FM-15,7,30.01
6,72219503888,2006-01-01 05:34:00,FM-16,7,30.02
7,72219503888,2006-01-01 05:41:00,FM-16,7,30.02
8,72219503888,2006-01-01 05:53:00,FM-15,7,30.02
9,72219503888,2006-01-01 06:53:00,FM-15,7,30.04
10,72219503888,2006-01-01 07:53:00,FM-15,7,30.06
11,72219503888,2006-01-01 08:42:00,FM-16,7,30.08
12,72219503888,2006-01-01 08:53:00,FM-15,7,30.08
13,72219503888,2006-01-01 09:53:00,FM-15,7,30.1
14,72219503888,2006-01-01 10:30:00,FM-16,7,30.1
15,72219503888,2006-01-01 10:53:00,FM-15,7,
16,72219503888,2006-01-01 11:53:00,FM-15,7,30.06
17,72219503888,2006-01-01 12:51:00,FM-16,6,30.03
18,72219503888,2006-01-01 12:53:00,FM-15,6,30.03
19,72219503888,2006-01-01 13:51:00,FM-16,6,30
20,72219503888,2006-01-01 13:53:00,FM-15,7,30
21,72219503888,2006-01-01 14:53:00,FM-15,7,29.98
22,72219503888,2006-01-01 15:53:00,FM-15,7,29.99
23,72219503888,2006-01-01 16:51:00,FM-16,6,30
24,72219503888,2006-01-01 16:53:00,FM-15,7,29.99
25,72219503888,2006-01-01 17:48:00,FM-16,7,30.02
26,72219503888,2006-01-01 17:49:00,FM-15,7,30.02
27,72219503888,2006-01-01 18:51:00,FM-16,6,30.02
28,72219503888,2006-01-01 18:53:00,FM-15,7,30.02
29,72219503888,2006-01-01 19:13:00,FM-16,7,30.01
30,72219503888,2006-01-01 19:53:00,FM-15,7,30
31,72219503888,2006-01-01 20:11:00,FM-16,7,30.02
32,72219503888,2006-01-01 20:35:00,FM-16,7,30.01
33,72219503888,2006-01-01 20:53:00,FM-15,7,30.01
34,72219503888,2006-01-01 21:53:00,FM-15,7,29.99
35,72219503888,2006-01-01 22:32:00,FM-16,7,29.99
36,72219503888,2006-01-01 22:53:00,FM-15,7,29.99
37,72219503888,2006-01-01 23:08:00,FM-16,7,29.99
38,72219503888,2006-01-01 23:37:00,FM-16,7,30
39,72219503888,2006-01-01 23:53:00,FM-15,7,30.01
40,72219503888,2006-01-01 23:59:00,SOD,6,
41,72219503888,2006-01-02 00:15:00,FM-16,7,
42,72219503888,2006-01-02 00:51:00,FM-16,6,29.99
43,72219503888,2006-01-02 00:53:00,FM-15,7,29.99
44,72219503888,2006-01-02 01:44:00,FM-16,7,29.96
45,72219503888,2006-01-02 01:53:00,FM-15,7,29.96
46,72219503888,2006-01-02 02:28:00,FM-16,7,29.98
47,72219503888,2006-01-02 02:38:00,FM-16,7,29.98
48,72219503888,2006-01-02 02:49:00,FM-16,7,29.98
49,72219503888,2006-01-02 02:53:00,FM-15,7,29.98
50,72219503888,2006-01-02 03:19:00,FM-16,6,30.02
51,72219503888,2006-01-02 03:26:00,FM-16,7,29.99
52,72219503888,2006-01-02 03:39:00,FM-16,7,29.97
53,72219503888,2006-01-02 03:51:00,FM-16,6,29.96
