year,month,day,streamflow,prcp,tmax
1980,1,1,0.02775050966016,0,-4.07
1980,1,2,0.028316846592,4.73,-5.98
1980,1,3,0.028316846592,0,-3.08
1980,1,4,0.0311485312512,0,-1.79
1980,1,5,0.0311485312512,0,0.37
1980,1,6,0.0311485312512,0,-3.59
1980,1,7,0.0311485312512,0,-0.94
1980,1,8,0.0311485312512,0,1.93
1980,1,9,0.0311485312512,0,5.19
1980,1,10,0.0311485312512,7.31,1.03
1980,1,11,0.028316846592,0,0.31
1980,1,12,0.028316846592,10.56,2.73
1980,1,13,0.02718417272832,0,7.1
1980,1,14,0.02718417272832,13.33,5.59
1980,1,15,0.0269010042624,2.99,2.53
1980,1,16,0.0269010042624,4.6,1.74
1980,1,17,0.0269010042624,0,3.53
1980,1,18,0.02661783579648,5.14,-0.96
1980,1,19,0.028316846592,3.54,-1.28
1980,1,20,0.028316846592,0,-4.58
1980,1,21,0.028316846592,0,-0.64
1980,1,22,0.042475269888,0,-4.05
1980,1,23,0.0396435852288,0,-1.09
1980,1,24,0.0339802159104,0,2.56
1980,1,25,0.028316846592,0,2.31
1980,1,26,0.028316846592,0,-3.17
1980,1,27,0.0311485312512,0,2.15
1980,1,28,0.0311485312512,20.63,0.07
1980,1,29,0.0481386392064,20,1.58
1980,1,30,0.0679604318208,11.34,-0.81
1980,1,31,0.028316846592,0,-1.16
1980,2,1,0.028316846592,0,1.41
1980,2,2,0.02803367812608,0,1.83
1980,2,3,0.028316846592,0,4.72
1980,2,4,0.028316846592,0,5.71
1980,2,5,0.028316846592,0,3.18
1980,2,6,0.0311485312512,0,4.11
1980,2,7,0.0311485312512,1.87,-0.04
1980,2,8,0.0311485312512,0,-6.4
1980,2,9,0.0311485312512,0,-2.71
1980,2,10,0.0311485312512,0,-0.26
1980,2,11,0.0311485312512,0,0.98
1980,2,12,0.0311485312512,0,4.03
1980,2,13,0.0368119005696,0,6.19
1980,2,14,0.0396435852288,0,6.46
1980,2,15,0.0339802159104,6.62,6.22
1980,2,16,0.028316846592,0.25,8.4
1980,2,17,0.0368119005696,0,6.49
1980,2,18,0.099108963072,13.51,8.51
1980,2,19,0.0538020085248,6.05,7.54
1980,2,20,0.0311485312512,11.2,3.55
1980,2,21,0.02378615113728,3.37,3.15
1980,2,22,0.02237030880768,4.51,4.29
1980,2,23,0.0311485312512,5.1,5.4
1980,2,24,0.0254851619328,0,2.52
1980,2,25,0.02718417272832,0,6.27
1980,2,26,0.028316846592,0,8.91
1980,2,27,0.0339802159104,0,9.88
1980,2,28,0.0339802159104,0,9.4
1980,2,29,0.028316846592,2.82,3.47
1980,3,1,0.0311485312512,0,6.71
1980,3,2,0.028316846592,0,4.98
1980,3,3,0.0311485312512,0,7.19
1980,3,4,0.0311485312512,1.81,5.16
1980,3,5,0.0311485312512,0,3
1980,3,6,0.0339802159104,13.21,4.77
1980,3,7,0.0339802159104,10.61,5.06
1980,3,8,0.0339802159104,0,6.44
1980,3,9,0.0311485312512,0,6.55
1980,3,10,0.0339802159104,0,5.77
1980,3,11,0.0339802159104,0,1.96
1980,3,12,0.0339802159104,9.98,6.82
1980,3,13,0.0339802159104,0,7.26
1980,3,14,0.0339802159104,0,7.85
1980,3,15,0.0339802159104,0,7.75
1980,3,16,0.0368119005696,0,4.84
1980,3,17,0.0368119005696,0,6.03
1980,3,18,0.0396435852288,0,6.32
1980,3,19,0.0396435852288,0,8.42
1980,3,20,0.0396435852288,0,10.46
1980,3,21,0.0396435852288,0,8.6
1980,3,22,0.0396435852288,4.55,5.84
1980,3,23,0.0368119005696,0,5.82
1980,3,24,0.0368119005696,0,4.46
1980,3,25,0.0368119005696,9.29,3.31
1980,3,26,0.0396435852288,2.51,2.96
1980,3,27,0.0396435852288,0,4.69
1980,3,28,0.0368119005696,0,3.89
1980,3,29,0.0368119005696,0,2.53
1980,3,30,0.0396435852288,0,1.78
1980,3,31,0.0396435852288,2.73,0.35
1980,4,1,0.042475269888,0,-0.58
1980,4,2,0.0396435852288,1.94,0.5
1980,4,3,0.0396435852288,0,5.43
1980,4,4,0.0396435852288,0,8.39
1980,4,5,0.0396435852288,0,12.16
1980,4,6,0.0396435852288,0,7.6
1980,4,7,0.0396435852288,0,4.31
