"","station","depth","date","arrival.time.local","latitude.degrees","latitude.min.sec","longitude.degrees","longitude.min.sec","weather","secchi.depth.meters","secchi.on.bottom","station.depth.meters","sample.depth.meters","temperature.celcius","do.mgl","do.percent.saturation","salinity.ppt","pH.nbs","ph.mv","nitrate.plus.nitrite.uml","nitrite.uml","orthophosphate.uml","ammonia.uml","final.chlorophyll.concentration.ugl","doc.mgl","delta.13c","delta.15n","tss.mgl","percent.organic","comments.field","comments.nutrients","comments.chlorophyll","comments.doc","comments.isotopes"
"1",1,"surface",20140116,937,41,45.625,71,22.78,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",2.3,"n",5.5,0.5,3.4,12.17,101.4,15.12,7.87,NA,44.51,0.35,1.43,9.55,2.42,16.95,-26.64,5.61,12.26,38.09,"moved station slightly-too shallow and rocky",NA,NA,NA,NA
"2",1,"mid",20140116,937,41,45.625,71,22.78,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",2.3,"n",5.5,2.7,3.1,11.82,104.3,24.32,7.77,NA,24.53,0.16,0.94,4.13,3.76,23.11,-24.7,7.38,10.53,34.98,"moved station slightly-too shallow and rocky",NA,NA,NA,NA
"3",1,"bottom",20140116,937,41,45.625,71,22.78,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",2.3,"n",5.5,4.5,2.7,11.44,102.9,29.06,7.88,NA,10.59,0,1.77,4.28,2.54,1.6,-24.09,8.42,12.36,25.23,"moved station slightly-too shallow and rocky",NA,NA,NA,NA
"4",2,"surface",20140116,1014,41,41.971,71,19.521,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3.4,"n",14.3,0.5,3.2,12.19,106.5,22.8,7.99,NA,25.04,0.13,1.67,6.49,1.94,2.18,-25.37,7.31,18.03,20.33,"moved station slightly",NA,NA,NA,NA
"5",2,"mid",20140116,1014,41,41.971,71,19.521,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3.4,"n",14.3,7,3.1,10.99,100.8,30.84,7.97,NA,6.79,0,1.16,2.18,2.06,25.7,-24.04,9.07,13.16,22.15,"moved station slightly",NA,NA,NA,NA
"6",2,"bottom",20140116,1014,41,41.971,71,19.521,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3.4,"n",14.3,NA,NA,NA,NA,NA,NA,NA,4.88,0,1.65,3.57,1.22,1.16,-24.47,9.2,13.01,22.96,"moved station slightly, so not in mid-channel, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"7",3,"surface",20140116,1133,41,39.493,71,23.196,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3,"n",5.3,0.5,2.9,12.49,110,25.89,8.03,NA,15.87,0.02,1.2,3.77,4.51,2.49,-23.81,8.88,10.78,33.04,NA,NA,NA,NA,NA
"8",3,"mid",20140116,1133,41,39.493,71,23.196,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3,"n",5.3,2.6,2.6,13.01,116.1,28.41,8.08,NA,7.29,0,1.2,2.15,8.85,1.95,-22.37,9.84,12.82,30.33,NA,NA,NA,NA,NA
"9",3,"bottom",20140116,1133,41,39.493,71,23.196,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3,"n",5.3,5,2.4,12.38,110.7,29.31,8.08,NA,7.51,0,0.59,1.13,7.54,2.44,-22.47,9.78,12.83,28.49,NA,NA,NA,NA,NA
"10",4,"surface",20140115,1135,41,35.886,71,22.93,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",10.1,0.5,2.6,12.33,109.8,28.42,8.01,NA,8.21,0,1.53,2.52,2.68,1.59,-25.49,8.75,13.63,25.56,NA,NA,NA,NA,NA
"11",4,"mid",20140115,1135,41,35.886,71,22.93,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",10.1,5,2.4,12.18,109.9,30.47,8.04,NA,5.57,0,0.91,1.19,4.91,1.66,-24.02,9.01,11.99,28.95,NA,NA,NA,NA,NA
"12",4,"bottom",20140115,1135,41,35.886,71,22.93,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",10.1,7,2.4,11.67,105.4,30.97,8.03,NA,5.26,0,0.63,0.9,5.72,1.67,-23.56,9.81,13.27,25.48,"sonde cable insufficient to reach bottom",NA,NA,NA,NA
"13",5,"surface",20140115,905,41,28.492,71,24.7,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",2.6,"n",14,0.5,3.2,11.49,105.3,31.84,7.75,NA,2.84,0,0.82,1.24,1.77,1.42,-25.33,7.74,18.53,22.56,NA,NA,NA,NA,NA
"14",5,"mid",20140115,905,41,28.492,71,24.7,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",2.6,"n",14,7,3.8,10.78,101.7,32.46,7.86,NA,2.67,0,1.09,1.64,1.66,1.62,-24.84,7.33,16.49,21.76,NA,NA,NA,NA,NA
"15",5,"bottom",20140115,905,41,28.492,71,24.7,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",2.6,"n",14,NA,NA,NA,NA,NA,NA,NA,2.76,0,1.42,2.14,2.11,1.48,-21.9,7.91,18.03,23.67,"sonde cable insufficient to reach bottom",NA,NA,NA,NA
"16",6,"surface",20140116,1052,41,38.532,71,18.525,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3.5,"n",11.2,0.5,3,12.76,119,26,7.95,NA,13.39,0,1.41,3.78,2.64,1.79,-24.82,7.98,11.87,29.87,NA,NA,NA,NA,NA
"17",6,"mid",20140116,1052,41,38.532,71,18.525,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3.5,"n",11.2,5.6,3.2,10.98,101.9,30.22,7.97,NA,6.39,0,1.14,2.02,1.75,1.36,-24.82,8.99,15.47,26.22,NA,NA,NA,NA,NA
"18",6,"bottom",20140116,1052,41,38.532,71,18.525,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",3.5,"n",11.2,NA,NA,NA,NA,NA,NA,NA,4.19,0,0.98,1.64,0.79,1.05,-24.91,8.31,17.57,25.2,"sonde cable insufficient to reach bottom",NA,NA,NA,NA
"19",7,"surface",20140115,1058,41,33.995,71,19.021,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",31.3,0.5,3.2,11.49,104.6,29.82,7.89,NA,10.37,0,0.9,1.99,1.21,2.53,-25.29,7.93,12.55,23.19,NA,NA,NA,NA,NA
